GrLivArea,SalePrice
2016,5493
2017,5608
2018,5734
2019,5905
1990,141511
1991,141199
1992,140949
1993,141186
1994,139722
1995,139994
1996,138978
1997,138093
1998,138535
1999,138775
2000,137155
2001,136243
2002,137516
2003,138012
2004,136692
2005,136339
2006,136832
2007,137934
2008,139223
2009,138881
2010,139474
2011,141089
2012,143740
2013,146399
2014,148044
2015,150941
2016,152622
2017,154182
2018,157938
2019,160593
2007,354
2010,407
2014,482
1990,236
1991,238
1992,238
1993,241
1994,244
1995,250
1996,257
1997,255
1998,258
1999,265
2000,270
2001,273
2002,276
2003,288
2004,305
2005,321
2006,340
2008,369
2009,389
2011,435
2012,453
2013,465
2015,504
2016,534
2017,559
2018,584
2019,602
1990,1309
1991,1305
1992,1363
1993,1435
1994,1537
1995,1661
1996,1717
1997,1786
1998,1829
1999,1904
2000,1986
2001,2054
2002,2217
2003,2312
2004,2412
2005,2480
2006,2546
2007,2612
2008,2684
2009,2737
2010,2792
2011,2854
2012,2938
2013,3025
2014,3105
2015,3208
2016,3306
2017,3410
2018,3537
2019,3674
1990,3486
1991,3605
1992,3535
1993,3742
1994,3896
1995,3685
1996,3314
1997,3347
1998,3525
1999,3407
2000,3439
2001,3576
2002,3549
2003,3545
2004,3589
2005,3622
2006,3711
2007,3870
2008,3795
2009,3832
2010,3695
2011,3809
2012,3806
2013,3740
2014,3838
2015,3774
2016,3882
2017,3862
2018,3844
2019,3832
1990,406
1991,423
1992,435
1993,446
1994,467
1995,499
1996,534
1997,560
1998,603
1999,653
2000,723
2001,783
2002,841
2003,881
2004,903
2005,915
2006,910
2007,910
2008,914
2009,918
2010,909
2011,901
2012,906
2013,910
2014,916
2015,923
2016,930
2017,942
2018,959
2019,979
2007,29862
2008,30071
2009,30352
1990,28570
1991,28799
1992,29443
1993,29730
1994,29868
1995,29930
1996,29733
1997,29720
1998,29961
1999,29981
2000,29461
2001,29217
2002,29323
2003,29345
2004,29408
2005,29742
2006,29733
2010,30588
2011,31227
2012,31634
2013,32442
2014,33588
2015,34455
2016,35633
2017,37017
2018,38393
2019,39600
1990,1773215
1991,1796891
1992,1828171
1993,1887995
1994,1919286
1995,1920561
1996,1899730
1997,1884209
1998,1882399
1999,1914346
2000,1928293
2001,1938495
2002,1964569
2003,1982005
2004,1977669
2005,2005622
2006,1995296
2007,2012526
2008,2043958
2009,2052021
2010,2068386
2011,2069123
2012,2089961
2013,2101270
2014,2116845
2015,2167192
2016,2172642
2017,2180086
2018,2208524
2019,2239506
1990,1783693
1991,1807913
1992,1839881
1993,1900114
1994,1931876
1995,1933722
1996,1913322
1997,1898201
1998,1896853
1999,1929059
2000,1943242
2001,1953678
2002,1980133
2003,1997797
2004,1993524
2005,2021783
2006,2011833
2007,2029525
2008,2061040
2009,2069318
2010,2086033
2011,2087044
2012,2108180
2013,2119688
2014,2135560
2015,2186383
2016,2192092
2017,2199921
2018,2228927
2019,2260409
1990,415
1991,419
1992,422
1993,427
1994,429
1995,432
1996,439
1997,443
1998,437
1999,456
2000,470
2001,467
2002,473
2003,497
2004,503
2005,528
2006,559
2007,590
2008,618
2009,629
2010,651
2011,672
2012,690
2013,708
2014,726
2015,744
2016,762
2017,779
2018,795
2019,810
1990,10337
1991,10386
1992,10537
1993,10592
1994,10445
1995,10591
1996,10659
1997,10749
1998,10800
1999,10813
2000,10883
2001,10975
2002,11136
2003,11285
2004,11408
2005,11534
2006,11693
2007,11909
2008,12089
2009,12340
2010,12597
2011,12785
2012,13029
2013,13279
2014,13454
2015,13634
2016,13907
2017,14091
2018,14284
2019,14495
1990,147596
1991,148992
1992,150548
1993,152384
1994,152660
1995,154276
1996,155708
1997,155859
1998,158570
1999,159827
2000,160035
2001,161674
2002,164176
2003,165898
2004,163565
2005,165087
2006,166220
2007,168468
2008,172168
2009,175675
2010,177632
2011,180034
2012,182809
2013,184080
2014,184299
2015,188774
2016,187823
2017,191346
2018,193603
2019,197313
1996,
1997,
1995,
1990,4611648
1991,4699405
1992,4793989
1993,4933015
1994,5031806
1995,5103666
